{'high_beta': 0 , 'low_beta': 0 , 'attention': 0 , 'low_gamma': 0 , 'delta': 0 , 'meditation': 0 , 'poor_signal': 200 , 'high_alpha': 0 , 'high_gamma': 0 , 'length': 0 , 'theta': 0 , 'low_alpha': 0} 17:46:51
{'high_beta': 23648.0 , 'low_beta': 30104.0 , 'attention': 75 , 'low_gamma': 10007.0 , 'delta': 757741.0 , 'meditation': 1 , 'poor_signal': 0 , 'high_alpha': 39060.0 , 'high_gamma': 9375.0 , 'length': 32 , 'theta': 116486.0 , 'low_alpha': 10975.0} 17:47:07
{'high_beta': 17719.0 , 'low_beta': 18191.0 , 'attention': 88 , 'low_gamma': 7581.0 , 'delta': 58402.0 , 'meditation': 1 , 'poor_signal': 0 , 'high_alpha': 5324.0 , 'high_gamma': 4220.0 , 'length': 32 , 'theta': 83531.0 , 'low_alpha': 8257.0} 17:47:08
{'high_beta': 14488.0 , 'low_beta': 2154.0 , 'attention': 60 , 'low_gamma': 16037.0 , 'delta': 77852.0 , 'meditation': 1 , 'poor_signal': 0 , 'high_alpha': 7257.0 , 'high_gamma': 7495.0 , 'length': 32 , 'theta': 147817.0 , 'low_alpha': 46449.0} 17:47:09
{'high_beta': 48329.0 , 'low_beta': 41450.0 , 'attention': 51 , 'low_gamma': 49051.0 , 'delta': 705136.0 , 'meditation': 24 , 'poor_signal': 0 , 'high_alpha': 17183.0 , 'high_gamma': 31854.0 , 'length': 32 , 'theta': 111358.0 , 'low_alpha': 175399.0} 17:47:10
{'high_beta': 12757.0 , 'low_beta': 6916.0 , 'attention': 66 , 'low_gamma': 6043.0 , 'delta': 884972.0 , 'meditation': 27 , 'poor_signal': 0 , 'high_alpha': 5273.0 , 'high_gamma': 6872.0 , 'length': 32 , 'theta': 28460.0 , 'low_alpha': 9303.0} 17:47:11
{'high_beta': 18328.0 , 'low_beta': 14828.0 , 'attention': 44 , 'low_gamma': 15986.0 , 'delta': 397495.0 , 'meditation': 30 , 'poor_signal': 0 , 'high_alpha': 21610.0 , 'high_gamma': 9822.0 , 'length': 32 , 'theta': 232141.0 , 'low_alpha': 23066.0} 17:47:12
{'high_beta': 14007.0 , 'low_beta': 29015.0 , 'attention': 43 , 'low_gamma': 3471.0 , 'delta': 365656.0 , 'meditation': 20 , 'poor_signal': 0 , 'high_alpha': 15593.0 , 'high_gamma': 3426.0 , 'length': 32 , 'theta': 174210.0 , 'low_alpha': 16555.0} 17:47:13
{'high_beta': 2014.0 , 'low_beta': 3373.0 , 'attention': 48 , 'low_gamma': 1981.0 , 'delta': 24397.0 , 'meditation': 7 , 'poor_signal': 0 , 'high_alpha': 3437.0 , 'high_gamma': 1498.0 , 'length': 32 , 'theta': 6641.0 , 'low_alpha': 1115.0} 17:47:14
{'high_beta': 5427.0 , 'low_beta': 21299.0 , 'attention': 11 , 'low_gamma': 1623.0 , 'delta': 170496.0 , 'meditation': 23 , 'poor_signal': 0 , 'high_alpha': 18446.0 , 'high_gamma': 2838.0 , 'length': 32 , 'theta': 75061.0 , 'low_alpha': 76840.0} 17:47:15
{'high_beta': 10049.0 , 'low_beta': 9263.0 , 'attention': 40 , 'low_gamma': 4657.0 , 'delta': 135762.0 , 'meditation': 44 , 'poor_signal': 0 , 'high_alpha': 17046.0 , 'high_gamma': 6227.0 , 'length': 32 , 'theta': 17077.0 , 'low_alpha': 6640.0} 17:47:16
{'high_beta': 2624.0 , 'low_beta': 3523.0 , 'attention': 40 , 'low_gamma': 2020.0 , 'delta': 329725.0 , 'meditation': 63 , 'poor_signal': 0 , 'high_alpha': 3689.0 , 'high_gamma': 2587.0 , 'length': 32 , 'theta': 30331.0 , 'low_alpha': 14055.0} 17:47:17
{'high_beta': 1906.0 , 'low_beta': 7731.0 , 'attention': 11 , 'low_gamma': 1307.0 , 'delta': 42029.0 , 'meditation': 54 , 'poor_signal': 0 , 'high_alpha': 9178.0 , 'high_gamma': 1211.0 , 'length': 32 , 'theta': 77891.0 , 'low_alpha': 10584.0} 17:47:18
{'high_beta': 2507.0 , 'low_beta': 4046.0 , 'attention': 37 , 'low_gamma': 1244.0 , 'delta': 142018.0 , 'meditation': 34 , 'poor_signal': 0 , 'high_alpha': 3323.0 , 'high_gamma': 882.0 , 'length': 32 , 'theta': 14774.0 , 'low_alpha': 805.0} 17:47:19
{'high_beta': 2864.0 , 'low_beta': 7878.0 , 'attention': 20 , 'low_gamma': 2512.0 , 'delta': 247372.0 , 'meditation': 20 , 'poor_signal': 0 , 'high_alpha': 8721.0 , 'high_gamma': 1029.0 , 'length': 32 , 'theta': 29240.0 , 'low_alpha': 1840.0} 17:47:20
{'high_beta': 894.0 , 'low_beta': 1578.0 , 'attention': 29 , 'low_gamma': 561.0 , 'delta': 1773.0 , 'meditation': 16 , 'poor_signal': 0 , 'high_alpha': 853.0 , 'high_gamma': 343.0 , 'length': 32 , 'theta': 5964.0 , 'low_alpha': 2910.0} 17:47:21
{'high_beta': 8471.0 , 'low_beta': 27964.0 , 'attention': 34 , 'low_gamma': 12084.0 , 'delta': 683436.0 , 'meditation': 7 , 'poor_signal': 0 , 'high_alpha': 9403.0 , 'high_gamma': 9631.0 , 'length': 32 , 'theta': 349664.0 , 'low_alpha': 15144.0} 17:47:22
{'high_beta': 3797.0 , 'low_beta': 8715.0 , 'attention': 26 , 'low_gamma': 3419.0 , 'delta': 37466.0 , 'meditation': 17 , 'poor_signal': 0 , 'high_alpha': 4242.0 , 'high_gamma': 766.0 , 'length': 32 , 'theta': 31805.0 , 'low_alpha': 9299.0} 17:47:23
{'high_beta': 7599.0 , 'low_beta': 19508.0 , 'attention': 37 , 'low_gamma': 1601.0 , 'delta': 116784.0 , 'meditation': 21 , 'poor_signal': 0 , 'high_alpha': 4784.0 , 'high_gamma': 2389.0 , 'length': 32 , 'theta': 33999.0 , 'low_alpha': 10760.0} 17:47:24
{'high_beta': 2410.0 , 'low_beta': 2234.0 , 'attention': 56 , 'low_gamma': 311.0 , 'delta': 8281.0 , 'meditation': 35 , 'poor_signal': 0 , 'high_alpha': 2796.0 , 'high_gamma': 495.0 , 'length': 32 , 'theta': 1475.0 , 'low_alpha': 2251.0} 17:47:25
