{'high_beta': 0 , 'low_beta': 0 , 'attention': 0 , 'low_gamma': 0 , 'delta': 0 , 'meditation': 0 , 'poor_signal': 200 , 'high_alpha': 0 , 'high_gamma': 0 , 'length': 0 , 'theta': 0 , 'low_alpha': 0} 00:58:43
{'high_beta': 0 , 'low_beta': 0 , 'attention': 0 , 'low_gamma': 0 , 'delta': 0 , 'meditation': 0 , 'poor_signal': 200 , 'high_alpha': 0 , 'high_gamma': 0 , 'length': 0 , 'theta': 0 , 'low_alpha': 0} 00:58:44
{'high_beta': 0 , 'low_beta': 0 , 'attention': 0 , 'low_gamma': 0 , 'delta': 0 , 'meditation': 0 , 'poor_signal': 200 , 'high_alpha': 0 , 'high_gamma': 0 , 'length': 0 , 'theta': 0 , 'low_alpha': 0} 00:58:44
{'high_beta': 0 , 'low_beta': 0 , 'attention': 0 , 'low_gamma': 0 , 'delta': 0 , 'meditation': 0 , 'poor_signal': 200 , 'high_alpha': 0 , 'high_gamma': 0 , 'length': 0 , 'theta': 0 , 'low_alpha': 0} 00:58:45
{'high_beta': 0 , 'low_beta': 0 , 'attention': 0 , 'low_gamma': 0 , 'delta': 0 , 'meditation': 0 , 'poor_signal': 200 , 'high_alpha': 0 , 'high_gamma': 0 , 'length': 0 , 'theta': 0 , 'low_alpha': 0} 00:58:45
{'high_beta': 0 , 'low_beta': 0 , 'attention': 0 , 'low_gamma': 0 , 'delta': 0 , 'meditation': 0 , 'poor_signal': 200 , 'high_alpha': 0 , 'high_gamma': 0 , 'length': 0 , 'theta': 0 , 'low_alpha': 0} 00:58:46
{'high_beta': 0 , 'low_beta': 0 , 'attention': 0 , 'low_gamma': 0 , 'delta': 0 , 'meditation': 0 , 'poor_signal': 200 , 'high_alpha': 0 , 'high_gamma': 0 , 'length': 0 , 'theta': 0 , 'low_alpha': 0} 00:58:46
{'high_beta': 0 , 'low_beta': 0 , 'attention': 0 , 'low_gamma': 0 , 'delta': 0 , 'meditation': 0 , 'poor_signal': 200 , 'high_alpha': 0 , 'high_gamma': 0 , 'length': 0 , 'theta': 0 , 'low_alpha': 0} 00:58:47
{'high_beta': 0 , 'low_beta': 0 , 'attention': 0 , 'low_gamma': 0 , 'delta': 0 , 'meditation': 0 , 'poor_signal': 200 , 'high_alpha': 0 , 'high_gamma': 0 , 'length': 0 , 'theta': 0 , 'low_alpha': 0} 00:58:48
{'high_beta': 0.0 , 'low_beta': 0.0 , 'attention': 0 , 'low_gamma': 2.0 , 'delta': 8.0 , 'meditation': 0 , 'poor_signal': 25 , 'high_alpha': 1.0 , 'high_gamma': 0.0 , 'length': 32 , 'theta': 6.0 , 'low_alpha': 0.0} 00:58:48
{'high_beta': 12511.0 , 'low_beta': 17586.0 , 'attention': 0 , 'low_gamma': 5472.0 , 'delta': 236461.0 , 'meditation': 0 , 'poor_signal': 0 , 'high_alpha': 38829.0 , 'high_gamma': 10294.0 , 'length': 32 , 'theta': 87131.0 , 'low_alpha': 54806.0} 00:58:49
{'high_beta': 2031.0 , 'low_beta': 6006.0 , 'attention': 0 , 'low_gamma': 1710.0 , 'delta': 7548.0 , 'meditation': 0 , 'poor_signal': 0 , 'high_alpha': 12753.0 , 'high_gamma': 3417.0 , 'length': 32 , 'theta': 9412.0 , 'low_alpha': 814.0} 00:58:50
{'high_beta': 7444.0 , 'low_beta': 6291.0 , 'attention': 0 , 'low_gamma': 10801.0 , 'delta': 15772.0 , 'meditation': 0 , 'poor_signal': 0 , 'high_alpha': 3100.0 , 'high_gamma': 4841.0 , 'length': 32 , 'theta': 61715.0 , 'low_alpha': 8658.0} 00:58:51
{'high_beta': 18698.0 , 'low_beta': 12717.0 , 'attention': 53 , 'low_gamma': 8327.0 , 'delta': 31311.0 , 'meditation': 44 , 'poor_signal': 0 , 'high_alpha': 7992.0 , 'high_gamma': 8742.0 , 'length': 32 , 'theta': 22709.0 , 'low_alpha': 16265.0} 00:58:52
{'high_beta': 4451.0 , 'low_beta': 7176.0 , 'attention': 64 , 'low_gamma': 6136.0 , 'delta': 3018.0 , 'meditation': 37 , 'poor_signal': 0 , 'high_alpha': 2222.0 , 'high_gamma': 2684.0 , 'length': 32 , 'theta': 10068.0 , 'low_alpha': 946.0} 00:58:53
{'high_beta': 9054.0 , 'low_beta': 6077.0 , 'attention': 70 , 'low_gamma': 7839.0 , 'delta': 52753.0 , 'meditation': 47 , 'poor_signal': 0 , 'high_alpha': 10429.0 , 'high_gamma': 4235.0 , 'length': 32 , 'theta': 16557.0 , 'low_alpha': 6126.0} 00:58:54
{'high_beta': 8292.0 , 'low_beta': 13422.0 , 'attention': 80 , 'low_gamma': 6637.0 , 'delta': 16203.0 , 'meditation': 54 , 'poor_signal': 0 , 'high_alpha': 9305.0 , 'high_gamma': 2344.0 , 'length': 32 , 'theta': 15643.0 , 'low_alpha': 9865.0} 00:58:55
{'high_beta': 5936.0 , 'low_beta': 5548.0 , 'attention': 81 , 'low_gamma': 4326.0 , 'delta': 7593.0 , 'meditation': 54 , 'poor_signal': 0 , 'high_alpha': 3328.0 , 'high_gamma': 4678.0 , 'length': 32 , 'theta': 4638.0 , 'low_alpha': 3462.0} 00:58:56
{'high_beta': 5588.0 , 'low_beta': 2845.0 , 'attention': 80 , 'low_gamma': 2592.0 , 'delta': 10781.0 , 'meditation': 61 , 'poor_signal': 0 , 'high_alpha': 3812.0 , 'high_gamma': 2774.0 , 'length': 32 , 'theta': 12726.0 , 'low_alpha': 1843.0} 00:58:57
{'high_beta': 7596.0 , 'low_beta': 5730.0 , 'attention': 88 , 'low_gamma': 2883.0 , 'delta': 4432.0 , 'meditation': 61 , 'poor_signal': 0 , 'high_alpha': 5113.0 , 'high_gamma': 3890.0 , 'length': 32 , 'theta': 5811.0 , 'low_alpha': 4125.0} 00:58:58
{'high_beta': 5880.0 , 'low_beta': 11329.0 , 'attention': 66 , 'low_gamma': 3077.0 , 'delta': 126636.0 , 'meditation': 50 , 'poor_signal': 0 , 'high_alpha': 12394.0 , 'high_gamma': 2415.0 , 'length': 32 , 'theta': 103556.0 , 'low_alpha': 12832.0} 00:58:59
{'high_beta': 5620.0 , 'low_beta': 7725.0 , 'attention': 50 , 'low_gamma': 3190.0 , 'delta': 18890.0 , 'meditation': 51 , 'poor_signal': 0 , 'high_alpha': 10839.0 , 'high_gamma': 8617.0 , 'length': 32 , 'theta': 25284.0 , 'low_alpha': 5791.0} 00:59:00
{'high_beta': 6167.0 , 'low_beta': 14311.0 , 'attention': 53 , 'low_gamma': 2735.0 , 'delta': 535480.0 , 'meditation': 54 , 'poor_signal': 0 , 'high_alpha': 6086.0 , 'high_gamma': 7829.0 , 'length': 32 , 'theta': 5926.0 , 'low_alpha': 3996.0} 00:59:01
{'high_beta': 5244.0 , 'low_beta': 10120.0 , 'attention': 53 , 'low_gamma': 4200.0 , 'delta': 5299.0 , 'meditation': 48 , 'poor_signal': 0 , 'high_alpha': 1587.0 , 'high_gamma': 3778.0 , 'length': 32 , 'theta': 6174.0 , 'low_alpha': 4221.0} 00:59:02
{'high_beta': 4376.0 , 'low_beta': 1923.0 , 'attention': 81 , 'low_gamma': 3728.0 , 'delta': 11647.0 , 'meditation': 47 , 'poor_signal': 0 , 'high_alpha': 1047.0 , 'high_gamma': 3415.0 , 'length': 32 , 'theta': 7563.0 , 'low_alpha': 1608.0} 00:59:03
{'high_beta': 11981.0 , 'low_beta': 7014.0 , 'attention': 83 , 'low_gamma': 9769.0 , 'delta': 219674.0 , 'meditation': 27 , 'poor_signal': 0 , 'high_alpha': 8408.0 , 'high_gamma': 2478.0 , 'length': 32 , 'theta': 65975.0 , 'low_alpha': 1466.0} 00:59:04
