{'high_beta': 0 , 'low_beta': 0 , 'attention': 0 , 'low_gamma': 0 , 'delta': 0 , 'meditation': 0 , 'poor_signal': 200 , 'high_alpha': 0 , 'high_gamma': 0 , 'length': 0 , 'theta': 0 , 'low_alpha': 0} 01:01:28
{'high_beta': 6833.0 , 'low_beta': 11606.0 , 'attention': 87 , 'low_gamma': 3385.0 , 'delta': 4406.0 , 'meditation': 40 , 'poor_signal': 0 , 'high_alpha': 3793.0 , 'high_gamma': 3535.0 , 'length': 32 , 'theta': 9085.0 , 'low_alpha': 1513.0} 01:01:44
{'high_beta': 39389.0 , 'low_beta': 34009.0 , 'attention': 94 , 'low_gamma': 23838.0 , 'delta': 16286.0 , 'meditation': 35 , 'poor_signal': 0 , 'high_alpha': 2602.0 , 'high_gamma': 15017.0 , 'length': 32 , 'theta': 7833.0 , 'low_alpha': 11353.0} 01:01:45
{'high_beta': 28999.0 , 'low_beta': 28196.0 , 'attention': 94 , 'low_gamma': 16820.0 , 'delta': 46725.0 , 'meditation': 10 , 'poor_signal': 0 , 'high_alpha': 17663.0 , 'high_gamma': 14024.0 , 'length': 32 , 'theta': 71261.0 , 'low_alpha': 4625.0} 01:01:46
{'high_beta': 8030.0 , 'low_beta': 5572.0 , 'attention': 91 , 'low_gamma': 2687.0 , 'delta': 3104.0 , 'meditation': 20 , 'poor_signal': 0 , 'high_alpha': 2772.0 , 'high_gamma': 3684.0 , 'length': 32 , 'theta': 6977.0 , 'low_alpha': 9996.0} 01:01:47
{'high_beta': 9361.0 , 'low_beta': 6922.0 , 'attention': 91 , 'low_gamma': 4287.0 , 'delta': 3496.0 , 'meditation': 27 , 'poor_signal': 0 , 'high_alpha': 3858.0 , 'high_gamma': 2376.0 , 'length': 32 , 'theta': 8932.0 , 'low_alpha': 4910.0} 01:01:48
{'high_beta': 5553.0 , 'low_beta': 6342.0 , 'attention': 69 , 'low_gamma': 4888.0 , 'delta': 24198.0 , 'meditation': 53 , 'poor_signal': 0 , 'high_alpha': 14799.0 , 'high_gamma': 3047.0 , 'length': 32 , 'theta': 9915.0 , 'low_alpha': 4741.0} 01:01:49
{'high_beta': 8742.0 , 'low_beta': 5595.0 , 'attention': 66 , 'low_gamma': 2098.0 , 'delta': 18529.0 , 'meditation': 75 , 'poor_signal': 0 , 'high_alpha': 12273.0 , 'high_gamma': 3937.0 , 'length': 32 , 'theta': 15419.0 , 'low_alpha': 6540.0} 01:01:50
{'high_beta': 18556.0 , 'low_beta': 5989.0 , 'attention': 63 , 'low_gamma': 6970.0 , 'delta': 483761.0 , 'meditation': 63 , 'poor_signal': 0 , 'high_alpha': 11354.0 , 'high_gamma': 5020.0 , 'length': 32 , 'theta': 50820.0 , 'low_alpha': 9307.0} 01:01:51
{'high_beta': 4172.0 , 'low_beta': 26959.0 , 'attention': 48 , 'low_gamma': 3380.0 , 'delta': 8061.0 , 'meditation': 74 , 'poor_signal': 0 , 'high_alpha': 16324.0 , 'high_gamma': 4956.0 , 'length': 32 , 'theta': 13623.0 , 'low_alpha': 13458.0} 01:01:52
{'high_beta': 12419.0 , 'low_beta': 7253.0 , 'attention': 61 , 'low_gamma': 5053.0 , 'delta': 7513.0 , 'meditation': 53 , 'poor_signal': 0 , 'high_alpha': 3083.0 , 'high_gamma': 2729.0 , 'length': 32 , 'theta': 7607.0 , 'low_alpha': 4015.0} 01:01:53
{'high_beta': 7028.0 , 'low_beta': 6681.0 , 'attention': 66 , 'low_gamma': 6766.0 , 'delta': 5652.0 , 'meditation': 47 , 'poor_signal': 0 , 'high_alpha': 2154.0 , 'high_gamma': 4791.0 , 'length': 32 , 'theta': 8270.0 , 'low_alpha': 6987.0} 01:01:54
{'high_beta': 6455.0 , 'low_beta': 12277.0 , 'attention': 63 , 'low_gamma': 4512.0 , 'delta': 7891.0 , 'meditation': 56 , 'poor_signal': 0 , 'high_alpha': 5950.0 , 'high_gamma': 3366.0 , 'length': 32 , 'theta': 12796.0 , 'low_alpha': 10338.0} 01:01:55
{'high_beta': 7946.0 , 'low_beta': 8850.0 , 'attention': 81 , 'low_gamma': 2428.0 , 'delta': 5042.0 , 'meditation': 41 , 'poor_signal': 0 , 'high_alpha': 2267.0 , 'high_gamma': 1643.0 , 'length': 32 , 'theta': 5918.0 , 'low_alpha': 3392.0} 01:01:56
{'high_beta': 3742.0 , 'low_beta': 3995.0 , 'attention': 70 , 'low_gamma': 2547.0 , 'delta': 5726.0 , 'meditation': 54 , 'poor_signal': 0 , 'high_alpha': 2606.0 , 'high_gamma': 1668.0 , 'length': 32 , 'theta': 5133.0 , 'low_alpha': 5382.0} 01:01:57
{'high_beta': 6101.0 , 'low_beta': 3177.0 , 'attention': 64 , 'low_gamma': 5341.0 , 'delta': 5655.0 , 'meditation': 47 , 'poor_signal': 0 , 'high_alpha': 4931.0 , 'high_gamma': 3906.0 , 'length': 32 , 'theta': 20626.0 , 'low_alpha': 2435.0} 01:01:58
{'high_beta': 12397.0 , 'low_beta': 8343.0 , 'attention': 69 , 'low_gamma': 7476.0 , 'delta': 2049.0 , 'meditation': 41 , 'poor_signal': 0 , 'high_alpha': 9595.0 , 'high_gamma': 8480.0 , 'length': 32 , 'theta': 20648.0 , 'low_alpha': 5020.0} 01:01:59
{'high_beta': 9413.0 , 'low_beta': 5959.0 , 'attention': 60 , 'low_gamma': 6256.0 , 'delta': 30182.0 , 'meditation': 50 , 'poor_signal': 0 , 'high_alpha': 1813.0 , 'high_gamma': 4903.0 , 'length': 32 , 'theta': 27837.0 , 'low_alpha': 15987.0} 01:02:00
{'high_beta': 9218.0 , 'low_beta': 6766.0 , 'attention': 66 , 'low_gamma': 7555.0 , 'delta': 15417.0 , 'meditation': 38 , 'poor_signal': 0 , 'high_alpha': 5871.0 , 'high_gamma': 2851.0 , 'length': 32 , 'theta': 6639.0 , 'low_alpha': 1134.0} 01:02:01
{'high_beta': 9195.0 , 'low_beta': 2220.0 , 'attention': 74 , 'low_gamma': 6244.0 , 'delta': 9617.0 , 'meditation': 47 , 'poor_signal': 0 , 'high_alpha': 1627.0 , 'high_gamma': 8838.0 , 'length': 32 , 'theta': 10626.0 , 'low_alpha': 8239.0} 01:02:02
