{'high_beta': 0 , 'low_beta': 0 , 'attention': 0 , 'low_gamma': 0 , 'delta': 0 , 'meditation': 0 , 'poor_signal': 200 , 'high_alpha': 0 , 'high_gamma': 0 , 'length': 0 , 'theta': 0 , 'low_alpha': 0} 00:50:51
{'high_beta': 0 , 'low_beta': 0 , 'attention': 0 , 'low_gamma': 0 , 'delta': 0 , 'meditation': 0 , 'poor_signal': 200 , 'high_alpha': 0 , 'high_gamma': 0 , 'length': 0 , 'theta': 0 , 'low_alpha': 0} 00:50:51
{'high_beta': 0 , 'low_beta': 0 , 'attention': 0 , 'low_gamma': 0 , 'delta': 0 , 'meditation': 0 , 'poor_signal': 200 , 'high_alpha': 0 , 'high_gamma': 0 , 'length': 0 , 'theta': 0 , 'low_alpha': 0} 00:50:52
{'high_beta': 0 , 'low_beta': 0 , 'attention': 0 , 'low_gamma': 0 , 'delta': 0 , 'meditation': 0 , 'poor_signal': 200 , 'high_alpha': 0 , 'high_gamma': 0 , 'length': 0 , 'theta': 0 , 'low_alpha': 0} 00:50:52
{'high_beta': 0 , 'low_beta': 0 , 'attention': 0 , 'low_gamma': 0 , 'delta': 0 , 'meditation': 0 , 'poor_signal': 200 , 'high_alpha': 0 , 'high_gamma': 0 , 'length': 0 , 'theta': 0 , 'low_alpha': 0} 00:50:53
{'high_beta': 0 , 'low_beta': 0 , 'attention': 0 , 'low_gamma': 0 , 'delta': 0 , 'meditation': 0 , 'poor_signal': 200 , 'high_alpha': 0 , 'high_gamma': 0 , 'length': 0 , 'theta': 0 , 'low_alpha': 0} 00:50:53
{'high_beta': 0 , 'low_beta': 0 , 'attention': 0 , 'low_gamma': 0 , 'delta': 0 , 'meditation': 0 , 'poor_signal': 200 , 'high_alpha': 0 , 'high_gamma': 0 , 'length': 0 , 'theta': 0 , 'low_alpha': 0} 00:50:54
{'high_beta': 0 , 'low_beta': 0 , 'attention': 0 , 'low_gamma': 0 , 'delta': 0 , 'meditation': 0 , 'poor_signal': 200 , 'high_alpha': 0 , 'high_gamma': 0 , 'length': 0 , 'theta': 0 , 'low_alpha': 0} 00:50:54
{'high_beta': 0 , 'low_beta': 0 , 'attention': 0 , 'low_gamma': 0 , 'delta': 0 , 'meditation': 0 , 'poor_signal': 200 , 'high_alpha': 0 , 'high_gamma': 0 , 'length': 0 , 'theta': 0 , 'low_alpha': 0} 00:50:55
{'high_beta': 1.0 , 'low_beta': 4.0 , 'attention': 0 , 'low_gamma': 1.0 , 'delta': 6.0 , 'meditation': 0 , 'poor_signal': 25 , 'high_alpha': 0.0 , 'high_gamma': 0.0 , 'length': 32 , 'theta': 1.0 , 'low_alpha': 3.0} 00:50:55
{'high_beta': 34798.0 , 'low_beta': 17725.0 , 'attention': 0 , 'low_gamma': 33095.0 , 'delta': 1093453.0 , 'meditation': 0 , 'poor_signal': 0 , 'high_alpha': 24934.0 , 'high_gamma': 12460.0 , 'length': 32 , 'theta': 393095.0 , 'low_alpha': 88513.0} 00:50:56
{'high_beta': 830.0 , 'low_beta': 3300.0 , 'attention': 0 , 'low_gamma': 1480.0 , 'delta': 2318.0 , 'meditation': 0 , 'poor_signal': 0 , 'high_alpha': 2992.0 , 'high_gamma': 799.0 , 'length': 32 , 'theta': 4970.0 , 'low_alpha': 1734.0} 00:50:57
{'high_beta': 5311.0 , 'low_beta': 2079.0 , 'attention': 0 , 'low_gamma': 1658.0 , 'delta': 9182.0 , 'meditation': 0 , 'poor_signal': 0 , 'high_alpha': 7051.0 , 'high_gamma': 4489.0 , 'length': 32 , 'theta': 5490.0 , 'low_alpha': 9375.0} 00:50:58
{'high_beta': 10900.0 , 'low_beta': 3250.0 , 'attention': 53 , 'low_gamma': 7159.0 , 'delta': 12122.0 , 'meditation': 38 , 'poor_signal': 0 , 'high_alpha': 10650.0 , 'high_gamma': 7736.0 , 'length': 32 , 'theta': 11302.0 , 'low_alpha': 561.0} 00:50:59
