{'high_beta': 0 , 'low_beta': 0 , 'attention': 0 , 'low_gamma': 0 , 'delta': 0 , 'meditation': 0 , 'poor_signal': 200 , 'high_alpha': 0 , 'high_gamma': 0 , 'length': 0 , 'theta': 0 , 'low_alpha': 0} 00:47:38
{'high_beta': 7205.0 , 'low_beta': 17046.0 , 'attention': 67 , 'low_gamma': 5624.0 , 'delta': 387057.0 , 'meditation': 48 , 'poor_signal': 0 , 'high_alpha': 8696.0 , 'high_gamma': 5331.0 , 'length': 32 , 'theta': 38441.0 , 'low_alpha': 1761.0} 00:47:55
{'high_beta': 9882.0 , 'low_beta': 30232.0 , 'attention': 74 , 'low_gamma': 3995.0 , 'delta': 16687.0 , 'meditation': 53 , 'poor_signal': 0 , 'high_alpha': 12774.0 , 'high_gamma': 6312.0 , 'length': 32 , 'theta': 4960.0 , 'low_alpha': 17292.0} 00:47:56
{'high_beta': 16305.0 , 'low_beta': 9868.0 , 'attention': 70 , 'low_gamma': 13880.0 , 'delta': 32560.0 , 'meditation': 54 , 'poor_signal': 0 , 'high_alpha': 13657.0 , 'high_gamma': 7503.0 , 'length': 32 , 'theta': 22964.0 , 'low_alpha': 5699.0} 00:47:57
{'high_beta': 8629.0 , 'low_beta': 13535.0 , 'attention': 74 , 'low_gamma': 3174.0 , 'delta': 4746.0 , 'meditation': 57 , 'poor_signal': 0 , 'high_alpha': 21402.0 , 'high_gamma': 2431.0 , 'length': 32 , 'theta': 14314.0 , 'low_alpha': 2507.0} 00:47:58
{'high_beta': 6476.0 , 'low_beta': 7859.0 , 'attention': 83 , 'low_gamma': 2684.0 , 'delta': 6740.0 , 'meditation': 64 , 'poor_signal': 0 , 'high_alpha': 5164.0 , 'high_gamma': 4281.0 , 'length': 32 , 'theta': 8795.0 , 'low_alpha': 1944.0} 00:47:59
{'high_beta': 6178.0 , 'low_beta': 1400.0 , 'attention': 87 , 'low_gamma': 2489.0 , 'delta': 1317.0 , 'meditation': 67 , 'poor_signal': 0 , 'high_alpha': 8354.0 , 'high_gamma': 1851.0 , 'length': 32 , 'theta': 7510.0 , 'low_alpha': 4406.0} 00:48:00
{'high_beta': 20591.0 , 'low_beta': 27940.0 , 'attention': 83 , 'low_gamma': 5099.0 , 'delta': 6916.0 , 'meditation': 63 , 'poor_signal': 0 , 'high_alpha': 9824.0 , 'high_gamma': 14220.0 , 'length': 32 , 'theta': 44909.0 , 'low_alpha': 14138.0} 00:48:01
{'high_beta': 19432.0 , 'low_beta': 6210.0 , 'attention': 88 , 'low_gamma': 9553.0 , 'delta': 9981.0 , 'meditation': 69 , 'poor_signal': 0 , 'high_alpha': 24174.0 , 'high_gamma': 4544.0 , 'length': 32 , 'theta': 9497.0 , 'low_alpha': 21025.0} 00:48:02
{'high_beta': 10682.0 , 'low_beta': 8526.0 , 'attention': 87 , 'low_gamma': 8145.0 , 'delta': 12442.0 , 'meditation': 83 , 'poor_signal': 0 , 'high_alpha': 7428.0 , 'high_gamma': 6251.0 , 'length': 32 , 'theta': 7324.0 , 'low_alpha': 16192.0} 00:48:03
{'high_beta': 21030.0 , 'low_beta': 2667.0 , 'attention': 97 , 'low_gamma': 9852.0 , 'delta': 4887.0 , 'meditation': 69 , 'poor_signal': 0 , 'high_alpha': 5343.0 , 'high_gamma': 4209.0 , 'length': 32 , 'theta': 14148.0 , 'low_alpha': 4801.0} 00:48:04
{'high_beta': 8477.0 , 'low_beta': 11739.0 , 'attention': 100 , 'low_gamma': 4512.0 , 'delta': 9757.0 , 'meditation': 66 , 'poor_signal': 0 , 'high_alpha': 2991.0 , 'high_gamma': 4612.0 , 'length': 32 , 'theta': 10924.0 , 'low_alpha': 3477.0} 00:48:05
{'high_beta': 18052.0 , 'low_beta': 17180.0 , 'attention': 100 , 'low_gamma': 6404.0 , 'delta': 23584.0 , 'meditation': 48 , 'poor_signal': 0 , 'high_alpha': 3809.0 , 'high_gamma': 3338.0 , 'length': 32 , 'theta': 12100.0 , 'low_alpha': 8187.0} 00:48:06
{'high_beta': 19427.0 , 'low_beta': 18236.0 , 'attention': 100 , 'low_gamma': 7619.0 , 'delta': 5627.0 , 'meditation': 41 , 'poor_signal': 0 , 'high_alpha': 17093.0 , 'high_gamma': 5485.0 , 'length': 32 , 'theta': 19458.0 , 'low_alpha': 9901.0} 00:48:07
{'high_beta': 11289.0 , 'low_beta': 4399.0 , 'attention': 100 , 'low_gamma': 5464.0 , 'delta': 19849.0 , 'meditation': 43 , 'poor_signal': 0 , 'high_alpha': 1952.0 , 'high_gamma': 4082.0 , 'length': 32 , 'theta': 10192.0 , 'low_alpha': 5286.0} 00:48:08
{'high_beta': 41422.0 , 'low_beta': 20261.0 , 'attention': 100 , 'low_gamma': 21046.0 , 'delta': 110209.0 , 'meditation': 56 , 'poor_signal': 0 , 'high_alpha': 39584.0 , 'high_gamma': 19740.0 , 'length': 32 , 'theta': 71587.0 , 'low_alpha': 51848.0} 00:48:09
{'high_beta': 23754.0 , 'low_beta': 11903.0 , 'attention': 87 , 'low_gamma': 15168.0 , 'delta': 309944.0 , 'meditation': 67 , 'poor_signal': 0 , 'high_alpha': 32262.0 , 'high_gamma': 20086.0 , 'length': 32 , 'theta': 77562.0 , 'low_alpha': 41742.0} 00:48:10
{'high_beta': 11324.0 , 'low_beta': 11321.0 , 'attention': 84 , 'low_gamma': 3524.0 , 'delta': 18392.0 , 'meditation': 75 , 'poor_signal': 0 , 'high_alpha': 17170.0 , 'high_gamma': 4267.0 , 'length': 32 , 'theta': 4144.0 , 'low_alpha': 8122.0} 00:48:11
{'high_beta': 14962.0 , 'low_beta': 7812.0 , 'attention': 88 , 'low_gamma': 5540.0 , 'delta': 31012.0 , 'meditation': 69 , 'poor_signal': 0 , 'high_alpha': 3134.0 , 'high_gamma': 8113.0 , 'length': 32 , 'theta': 7036.0 , 'low_alpha': 2266.0} 00:48:12
{'high_beta': 16512.0 , 'low_beta': 8475.0 , 'attention': 84 , 'low_gamma': 6444.0 , 'delta': 375261.0 , 'meditation': 53 , 'poor_signal': 0 , 'high_alpha': 5211.0 , 'high_gamma': 3610.0 , 'length': 32 , 'theta': 57747.0 , 'low_alpha': 7814.0} 00:48:13
