{'high_beta': 0 , 'low_beta': 0 , 'attention': 0 , 'low_gamma': 0 , 'delta': 0 , 'meditation': 0 , 'poor_signal': 200 , 'high_alpha': 0 , 'high_gamma': 0 , 'length': 0 , 'theta': 0 , 'low_alpha': 0} 00:49:13
{'high_beta': 0 , 'low_beta': 0 , 'attention': 0 , 'low_gamma': 0 , 'delta': 0 , 'meditation': 0 , 'poor_signal': 200 , 'high_alpha': 0 , 'high_gamma': 0 , 'length': 0 , 'theta': 0 , 'low_alpha': 0} 00:49:14
{'high_beta': 0 , 'low_beta': 0 , 'attention': 0 , 'low_gamma': 0 , 'delta': 0 , 'meditation': 0 , 'poor_signal': 200 , 'high_alpha': 0 , 'high_gamma': 0 , 'length': 0 , 'theta': 0 , 'low_alpha': 0} 00:49:14
{'high_beta': 0 , 'low_beta': 0 , 'attention': 0 , 'low_gamma': 0 , 'delta': 0 , 'meditation': 0 , 'poor_signal': 200 , 'high_alpha': 0 , 'high_gamma': 0 , 'length': 0 , 'theta': 0 , 'low_alpha': 0} 00:49:15
{'high_beta': 0 , 'low_beta': 0 , 'attention': 0 , 'low_gamma': 0 , 'delta': 0 , 'meditation': 0 , 'poor_signal': 200 , 'high_alpha': 0 , 'high_gamma': 0 , 'length': 0 , 'theta': 0 , 'low_alpha': 0} 00:49:15
{'high_beta': 0 , 'low_beta': 0 , 'attention': 0 , 'low_gamma': 0 , 'delta': 0 , 'meditation': 0 , 'poor_signal': 200 , 'high_alpha': 0 , 'high_gamma': 0 , 'length': 0 , 'theta': 0 , 'low_alpha': 0} 00:49:16
{'high_beta': 0 , 'low_beta': 0 , 'attention': 0 , 'low_gamma': 0 , 'delta': 0 , 'meditation': 0 , 'poor_signal': 200 , 'high_alpha': 0 , 'high_gamma': 0 , 'length': 0 , 'theta': 0 , 'low_alpha': 0} 00:49:16
{'high_beta': 0 , 'low_beta': 0 , 'attention': 0 , 'low_gamma': 0 , 'delta': 0 , 'meditation': 0 , 'poor_signal': 200 , 'high_alpha': 0 , 'high_gamma': 0 , 'length': 0 , 'theta': 0 , 'low_alpha': 0} 00:49:17
{'high_beta': 0 , 'low_beta': 0 , 'attention': 0 , 'low_gamma': 0 , 'delta': 0 , 'meditation': 0 , 'poor_signal': 200 , 'high_alpha': 0 , 'high_gamma': 0 , 'length': 0 , 'theta': 0 , 'low_alpha': 0} 00:49:17
{'high_beta': 0 , 'low_beta': 0 , 'attention': 0 , 'low_gamma': 0 , 'delta': 0 , 'meditation': 0 , 'poor_signal': 200 , 'high_alpha': 0 , 'high_gamma': 0 , 'length': 0 , 'theta': 0 , 'low_alpha': 0} 00:49:18
{'high_beta': 0.0 , 'low_beta': 0.0 , 'attention': 0 , 'low_gamma': 1.0 , 'delta': 4.0 , 'meditation': 0 , 'poor_signal': 25 , 'high_alpha': 1.0 , 'high_gamma': 0.0 , 'length': 32 , 'theta': 3.0 , 'low_alpha': 1.0} 00:49:18
{'high_beta': 47658.0 , 'low_beta': 41466.0 , 'attention': 0 , 'low_gamma': 24850.0 , 'delta': 2088587.0 , 'meditation': 0 , 'poor_signal': 0 , 'high_alpha': 18180.0 , 'high_gamma': 14468.0 , 'length': 32 , 'theta': 102583.0 , 'low_alpha': 199673.0} 00:49:19
{'high_beta': 8411.0 , 'low_beta': 7076.0 , 'attention': 0 , 'low_gamma': 7723.0 , 'delta': 125179.0 , 'meditation': 0 , 'poor_signal': 0 , 'high_alpha': 24556.0 , 'high_gamma': 7522.0 , 'length': 32 , 'theta': 60699.0 , 'low_alpha': 14132.0} 00:49:20
{'high_beta': 13506.0 , 'low_beta': 17311.0 , 'attention': 0 , 'low_gamma': 31996.0 , 'delta': 6972.0 , 'meditation': 0 , 'poor_signal': 0 , 'high_alpha': 18996.0 , 'high_gamma': 22706.0 , 'length': 32 , 'theta': 10209.0 , 'low_alpha': 21551.0} 00:49:21
{'high_beta': 11510.0 , 'low_beta': 17303.0 , 'attention': 53 , 'low_gamma': 15352.0 , 'delta': 16857.0 , 'meditation': 47 , 'poor_signal': 0 , 'high_alpha': 15905.0 , 'high_gamma': 9852.0 , 'length': 32 , 'theta': 3960.0 , 'low_alpha': 16719.0} 00:49:22
{'high_beta': 16414.0 , 'low_beta': 26124.0 , 'attention': 77 , 'low_gamma': 13095.0 , 'delta': 4367.0 , 'meditation': 27 , 'poor_signal': 0 , 'high_alpha': 2323.0 , 'high_gamma': 7397.0 , 'length': 32 , 'theta': 6854.0 , 'low_alpha': 4396.0} 00:49:23
{'high_beta': 14473.0 , 'low_beta': 7858.0 , 'attention': 84 , 'low_gamma': 8518.0 , 'delta': 3466.0 , 'meditation': 29 , 'poor_signal': 0 , 'high_alpha': 7721.0 , 'high_gamma': 10425.0 , 'length': 32 , 'theta': 16384.0 , 'low_alpha': 11833.0} 00:49:24
{'high_beta': 15119.0 , 'low_beta': 18144.0 , 'attention': 77 , 'low_gamma': 15311.0 , 'delta': 474297.0 , 'meditation': 11 , 'poor_signal': 0 , 'high_alpha': 17561.0 , 'high_gamma': 12700.0 , 'length': 32 , 'theta': 130640.0 , 'low_alpha': 6684.0} 00:49:25
{'high_beta': 10945.0 , 'low_beta': 11914.0 , 'attention': 67 , 'low_gamma': 6575.0 , 'delta': 23082.0 , 'meditation': 10 , 'poor_signal': 0 , 'high_alpha': 5084.0 , 'high_gamma': 3907.0 , 'length': 32 , 'theta': 8917.0 , 'low_alpha': 14816.0} 00:49:26
{'high_beta': 3434.0 , 'low_beta': 2758.0 , 'attention': 51 , 'low_gamma': 1607.0 , 'delta': 11134.0 , 'meditation': 13 , 'poor_signal': 0 , 'high_alpha': 694.0 , 'high_gamma': 798.0 , 'length': 32 , 'theta': 7322.0 , 'low_alpha': 1573.0} 00:49:27
{'high_beta': 12910.0 , 'low_beta': 13390.0 , 'attention': 50 , 'low_gamma': 3271.0 , 'delta': 5509.0 , 'meditation': 1 , 'poor_signal': 0 , 'high_alpha': 10065.0 , 'high_gamma': 3045.0 , 'length': 32 , 'theta': 23676.0 , 'low_alpha': 2674.0} 00:49:28
{'high_beta': 17823.0 , 'low_beta': 13297.0 , 'attention': 63 , 'low_gamma': 6180.0 , 'delta': 667480.0 , 'meditation': 14 , 'poor_signal': 0 , 'high_alpha': 2647.0 , 'high_gamma': 4885.0 , 'length': 32 , 'theta': 40677.0 , 'low_alpha': 21186.0} 00:49:29
{'high_beta': 18510.0 , 'low_beta': 4585.0 , 'attention': 69 , 'low_gamma': 8156.0 , 'delta': 1689.0 , 'meditation': 20 , 'poor_signal': 0 , 'high_alpha': 20360.0 , 'high_gamma': 3438.0 , 'length': 32 , 'theta': 6220.0 , 'low_alpha': 2182.0} 00:49:30
{'high_beta': 10933.0 , 'low_beta': 6619.0 , 'attention': 66 , 'low_gamma': 4361.0 , 'delta': 24242.0 , 'meditation': 37 , 'poor_signal': 0 , 'high_alpha': 8677.0 , 'high_gamma': 4023.0 , 'length': 32 , 'theta': 21385.0 , 'low_alpha': 8042.0} 00:49:31
{'high_beta': 14109.0 , 'low_beta': 9721.0 , 'attention': 67 , 'low_gamma': 5423.0 , 'delta': 515831.0 , 'meditation': 44 , 'poor_signal': 0 , 'high_alpha': 5211.0 , 'high_gamma': 6803.0 , 'length': 32 , 'theta': 16955.0 , 'low_alpha': 10335.0} 00:49:32
