{'high_beta': 0 , 'low_beta': 0 , 'attention': 0 , 'low_gamma': 0 , 'delta': 0 , 'meditation': 0 , 'poor_signal': 200 , 'high_alpha': 0 , 'high_gamma': 0 , 'length': 0 , 'theta': 0 , 'low_alpha': 0} 00:59:49
{'high_beta': 0 , 'low_beta': 0 , 'attention': 0 , 'low_gamma': 0 , 'delta': 0 , 'meditation': 0 , 'poor_signal': 200 , 'high_alpha': 0 , 'high_gamma': 0 , 'length': 0 , 'theta': 0 , 'low_alpha': 0} 00:59:50
{'high_beta': 0 , 'low_beta': 0 , 'attention': 0 , 'low_gamma': 0 , 'delta': 0 , 'meditation': 0 , 'poor_signal': 200 , 'high_alpha': 0 , 'high_gamma': 0 , 'length': 0 , 'theta': 0 , 'low_alpha': 0} 00:59:50
{'high_beta': 0 , 'low_beta': 0 , 'attention': 0 , 'low_gamma': 0 , 'delta': 0 , 'meditation': 0 , 'poor_signal': 200 , 'high_alpha': 0 , 'high_gamma': 0 , 'length': 0 , 'theta': 0 , 'low_alpha': 0} 00:59:51
{'high_beta': 0 , 'low_beta': 0 , 'attention': 0 , 'low_gamma': 0 , 'delta': 0 , 'meditation': 0 , 'poor_signal': 200 , 'high_alpha': 0 , 'high_gamma': 0 , 'length': 0 , 'theta': 0 , 'low_alpha': 0} 00:59:51
{'high_beta': 0 , 'low_beta': 0 , 'attention': 0 , 'low_gamma': 0 , 'delta': 0 , 'meditation': 0 , 'poor_signal': 200 , 'high_alpha': 0 , 'high_gamma': 0 , 'length': 0 , 'theta': 0 , 'low_alpha': 0} 00:59:52
{'high_beta': 0 , 'low_beta': 0 , 'attention': 0 , 'low_gamma': 0 , 'delta': 0 , 'meditation': 0 , 'poor_signal': 200 , 'high_alpha': 0 , 'high_gamma': 0 , 'length': 0 , 'theta': 0 , 'low_alpha': 0} 00:59:52
{'high_beta': 0 , 'low_beta': 0 , 'attention': 0 , 'low_gamma': 0 , 'delta': 0 , 'meditation': 0 , 'poor_signal': 200 , 'high_alpha': 0 , 'high_gamma': 0 , 'length': 0 , 'theta': 0 , 'low_alpha': 0} 00:59:53
{'high_beta': 0 , 'low_beta': 0 , 'attention': 0 , 'low_gamma': 0 , 'delta': 0 , 'meditation': 0 , 'poor_signal': 200 , 'high_alpha': 0 , 'high_gamma': 0 , 'length': 0 , 'theta': 0 , 'low_alpha': 0} 00:59:54
{'high_beta': 0 , 'low_beta': 0 , 'attention': 0 , 'low_gamma': 0 , 'delta': 0 , 'meditation': 0 , 'poor_signal': 200 , 'high_alpha': 0 , 'high_gamma': 0 , 'length': 0 , 'theta': 0 , 'low_alpha': 0} 00:59:54
{'high_beta': 1.0 , 'low_beta': 1.0 , 'attention': 0 , 'low_gamma': 0.0 , 'delta': 8.0 , 'meditation': 0 , 'poor_signal': 25 , 'high_alpha': 2.0 , 'high_gamma': 1.0 , 'length': 32 , 'theta': 1.0 , 'low_alpha': 0.0} 00:59:54
{'high_beta': 8805.0 , 'low_beta': 31936.0 , 'attention': 0 , 'low_gamma': 10407.0 , 'delta': 1962698.0 , 'meditation': 0 , 'poor_signal': 0 , 'high_alpha': 17238.0 , 'high_gamma': 11923.0 , 'length': 32 , 'theta': 211686.0 , 'low_alpha': 77374.0} 00:59:55
{'high_beta': 952.0 , 'low_beta': 1694.0 , 'attention': 0 , 'low_gamma': 1038.0 , 'delta': 5940.0 , 'meditation': 0 , 'poor_signal': 0 , 'high_alpha': 3036.0 , 'high_gamma': 510.0 , 'length': 32 , 'theta': 6874.0 , 'low_alpha': 1705.0} 00:59:56
{'high_beta': 9024.0 , 'low_beta': 3953.0 , 'attention': 0 , 'low_gamma': 1385.0 , 'delta': 4848.0 , 'meditation': 0 , 'poor_signal': 0 , 'high_alpha': 1950.0 , 'high_gamma': 1221.0 , 'length': 32 , 'theta': 8332.0 , 'low_alpha': 4879.0} 00:59:57
{'high_beta': 2529.0 , 'low_beta': 1533.0 , 'attention': 41 , 'low_gamma': 2846.0 , 'delta': 5204.0 , 'meditation': 30 , 'poor_signal': 0 , 'high_alpha': 5213.0 , 'high_gamma': 877.0 , 'length': 32 , 'theta': 16001.0 , 'low_alpha': 1095.0} 00:59:58
{'high_beta': 12750.0 , 'low_beta': 7423.0 , 'attention': 51 , 'low_gamma': 2554.0 , 'delta': 3485.0 , 'meditation': 54 , 'poor_signal': 0 , 'high_alpha': 10263.0 , 'high_gamma': 5006.0 , 'length': 32 , 'theta': 11126.0 , 'low_alpha': 9216.0} 00:59:59
{'high_beta': 7879.0 , 'low_beta': 6227.0 , 'attention': 63 , 'low_gamma': 1496.0 , 'delta': 7930.0 , 'meditation': 74 , 'poor_signal': 0 , 'high_alpha': 4882.0 , 'high_gamma': 1607.0 , 'length': 32 , 'theta': 5799.0 , 'low_alpha': 4933.0} 01:00:00
{'high_beta': 5815.0 , 'low_beta': 6221.0 , 'attention': 63 , 'low_gamma': 3927.0 , 'delta': 476088.0 , 'meditation': 54 , 'poor_signal': 0 , 'high_alpha': 687.0 , 'high_gamma': 1136.0 , 'length': 32 , 'theta': 77399.0 , 'low_alpha': 3316.0} 01:00:01
{'high_beta': 6490.0 , 'low_beta': 9224.0 , 'attention': 74 , 'low_gamma': 1873.0 , 'delta': 2715.0 , 'meditation': 75 , 'poor_signal': 0 , 'high_alpha': 1842.0 , 'high_gamma': 2176.0 , 'length': 32 , 'theta': 6310.0 , 'low_alpha': 4752.0} 01:00:02
{'high_beta': 5264.0 , 'low_beta': 5530.0 , 'attention': 69 , 'low_gamma': 2493.0 , 'delta': 8326.0 , 'meditation': 54 , 'poor_signal': 0 , 'high_alpha': 3798.0 , 'high_gamma': 2529.0 , 'length': 32 , 'theta': 14378.0 , 'low_alpha': 451.0} 01:00:03
{'high_beta': 7597.0 , 'low_beta': 4429.0 , 'attention': 69 , 'low_gamma': 3334.0 , 'delta': 13567.0 , 'meditation': 56 , 'poor_signal': 0 , 'high_alpha': 4124.0 , 'high_gamma': 2529.0 , 'length': 32 , 'theta': 7036.0 , 'low_alpha': 3874.0} 01:00:04
{'high_beta': 7067.0 , 'low_beta': 6777.0 , 'attention': 84 , 'low_gamma': 7671.0 , 'delta': 2525.0 , 'meditation': 87 , 'poor_signal': 0 , 'high_alpha': 3327.0 , 'high_gamma': 3014.0 , 'length': 32 , 'theta': 6645.0 , 'low_alpha': 2433.0} 01:00:05
{'high_beta': 1857.0 , 'low_beta': 8843.0 , 'attention': 78 , 'low_gamma': 1313.0 , 'delta': 3542.0 , 'meditation': 83 , 'poor_signal': 0 , 'high_alpha': 2771.0 , 'high_gamma': 891.0 , 'length': 32 , 'theta': 5501.0 , 'low_alpha': 1171.0} 01:00:06
{'high_beta': 2412.0 , 'low_beta': 5441.0 , 'attention': 74 , 'low_gamma': 1124.0 , 'delta': 2535.0 , 'meditation': 93 , 'poor_signal': 0 , 'high_alpha': 5276.0 , 'high_gamma': 744.0 , 'length': 32 , 'theta': 11036.0 , 'low_alpha': 898.0} 01:00:07
{'high_beta': 5558.0 , 'low_beta': 13854.0 , 'attention': 67 , 'low_gamma': 1891.0 , 'delta': 12366.0 , 'meditation': 97 , 'poor_signal': 0 , 'high_alpha': 12464.0 , 'high_gamma': 1275.0 , 'length': 32 , 'theta': 4951.0 , 'low_alpha': 3404.0} 01:00:08
{'high_beta': 7703.0 , 'low_beta': 11712.0 , 'attention': 64 , 'low_gamma': 3261.0 , 'delta': 58990.0 , 'meditation': 97 , 'poor_signal': 0 , 'high_alpha': 5641.0 , 'high_gamma': 2623.0 , 'length': 32 , 'theta': 11769.0 , 'low_alpha': 4660.0} 01:00:09
