{'high_beta': 0 , 'low_beta': 0 , 'attention': 0 , 'low_gamma': 0 , 'delta': 0 , 'meditation': 0 , 'poor_signal': 200 , 'high_alpha': 0 , 'high_gamma': 0 , 'length': 0 , 'theta': 0 , 'low_alpha': 0} 00:55:32
{'high_beta': 0 , 'low_beta': 0 , 'attention': 0 , 'low_gamma': 0 , 'delta': 0 , 'meditation': 0 , 'poor_signal': 200 , 'high_alpha': 0 , 'high_gamma': 0 , 'length': 0 , 'theta': 0 , 'low_alpha': 0} 00:55:32
{'high_beta': 0 , 'low_beta': 0 , 'attention': 0 , 'low_gamma': 0 , 'delta': 0 , 'meditation': 0 , 'poor_signal': 200 , 'high_alpha': 0 , 'high_gamma': 0 , 'length': 0 , 'theta': 0 , 'low_alpha': 0} 00:55:33
{'high_beta': 0 , 'low_beta': 0 , 'attention': 0 , 'low_gamma': 0 , 'delta': 0 , 'meditation': 0 , 'poor_signal': 200 , 'high_alpha': 0 , 'high_gamma': 0 , 'length': 0 , 'theta': 0 , 'low_alpha': 0} 00:55:33
{'high_beta': 0 , 'low_beta': 0 , 'attention': 0 , 'low_gamma': 0 , 'delta': 0 , 'meditation': 0 , 'poor_signal': 200 , 'high_alpha': 0 , 'high_gamma': 0 , 'length': 0 , 'theta': 0 , 'low_alpha': 0} 00:55:34
{'high_beta': 0 , 'low_beta': 0 , 'attention': 0 , 'low_gamma': 0 , 'delta': 0 , 'meditation': 0 , 'poor_signal': 200 , 'high_alpha': 0 , 'high_gamma': 0 , 'length': 0 , 'theta': 0 , 'low_alpha': 0} 00:55:34
{'high_beta': 0 , 'low_beta': 0 , 'attention': 0 , 'low_gamma': 0 , 'delta': 0 , 'meditation': 0 , 'poor_signal': 200 , 'high_alpha': 0 , 'high_gamma': 0 , 'length': 0 , 'theta': 0 , 'low_alpha': 0} 00:55:35
{'high_beta': 0 , 'low_beta': 0 , 'attention': 0 , 'low_gamma': 0 , 'delta': 0 , 'meditation': 0 , 'poor_signal': 200 , 'high_alpha': 0 , 'high_gamma': 0 , 'length': 0 , 'theta': 0 , 'low_alpha': 0} 00:55:35
{'high_beta': 0 , 'low_beta': 0 , 'attention': 0 , 'low_gamma': 0 , 'delta': 0 , 'meditation': 0 , 'poor_signal': 200 , 'high_alpha': 0 , 'high_gamma': 0 , 'length': 0 , 'theta': 0 , 'low_alpha': 0} 00:55:36
{'high_beta': 0 , 'low_beta': 0 , 'attention': 0 , 'low_gamma': 0 , 'delta': 0 , 'meditation': 0 , 'poor_signal': 200 , 'high_alpha': 0 , 'high_gamma': 0 , 'length': 0 , 'theta': 0 , 'low_alpha': 0} 00:55:37
{'high_beta': 2.0 , 'low_beta': 0.0 , 'attention': 0 , 'low_gamma': 0.0 , 'delta': 1.0 , 'meditation': 0 , 'poor_signal': 25 , 'high_alpha': 0.0 , 'high_gamma': 0.0 , 'length': 32 , 'theta': 1.0 , 'low_alpha': 0.0} 00:55:37
{'high_beta': 8256.0 , 'low_beta': 28716.0 , 'attention': 0 , 'low_gamma': 5371.0 , 'delta': 347784.0 , 'meditation': 0 , 'poor_signal': 0 , 'high_alpha': 25450.0 , 'high_gamma': 4795.0 , 'length': 32 , 'theta': 102343.0 , 'low_alpha': 66682.0} 00:55:38
{'high_beta': 6044.0 , 'low_beta': 7456.0 , 'attention': 0 , 'low_gamma': 4177.0 , 'delta': 15165.0 , 'meditation': 0 , 'poor_signal': 0 , 'high_alpha': 4018.0 , 'high_gamma': 2478.0 , 'length': 32 , 'theta': 5805.0 , 'low_alpha': 5120.0} 00:55:39
{'high_beta': 50588.0 , 'low_beta': 62320.0 , 'attention': 0 , 'low_gamma': 23537.0 , 'delta': 538069.0 , 'meditation': 0 , 'poor_signal': 0 , 'high_alpha': 46041.0 , 'high_gamma': 7548.0 , 'length': 32 , 'theta': 23047.0 , 'low_alpha': 24678.0} 00:55:40
{'high_beta': 31488.0 , 'low_beta': 19686.0 , 'attention': 0 , 'low_gamma': 5388.0 , 'delta': 2102946.0 , 'meditation': 0 , 'poor_signal': 26 , 'high_alpha': 48181.0 , 'high_gamma': 5266.0 , 'length': 32 , 'theta': 141757.0 , 'low_alpha': 22063.0} 00:55:41
{'high_beta': 14772.0 , 'low_beta': 19829.0 , 'attention': 47 , 'low_gamma': 5666.0 , 'delta': 23532.0 , 'meditation': 51 , 'poor_signal': 0 , 'high_alpha': 8377.0 , 'high_gamma': 5137.0 , 'length': 32 , 'theta': 14880.0 , 'low_alpha': 29430.0} 00:55:42
{'high_beta': 9448.0 , 'low_beta': 4360.0 , 'attention': 51 , 'low_gamma': 5179.0 , 'delta': 39412.0 , 'meditation': 34 , 'poor_signal': 0 , 'high_alpha': 5270.0 , 'high_gamma': 5578.0 , 'length': 32 , 'theta': 35517.0 , 'low_alpha': 2887.0} 00:55:43
{'high_beta': 5613.0 , 'low_beta': 4041.0 , 'attention': 61 , 'low_gamma': 6779.0 , 'delta': 17338.0 , 'meditation': 40 , 'poor_signal': 0 , 'high_alpha': 4064.0 , 'high_gamma': 4719.0 , 'length': 32 , 'theta': 6288.0 , 'low_alpha': 3409.0} 00:55:44
{'high_beta': 8540.0 , 'low_beta': 18619.0 , 'attention': 69 , 'low_gamma': 8303.0 , 'delta': 3986.0 , 'meditation': 51 , 'poor_signal': 0 , 'high_alpha': 9764.0 , 'high_gamma': 2214.0 , 'length': 32 , 'theta': 8520.0 , 'low_alpha': 8706.0} 00:55:45
{'high_beta': 9958.0 , 'low_beta': 4426.0 , 'attention': 78 , 'low_gamma': 3120.0 , 'delta': 1271.0 , 'meditation': 41 , 'poor_signal': 0 , 'high_alpha': 3581.0 , 'high_gamma': 2531.0 , 'length': 32 , 'theta': 5531.0 , 'low_alpha': 4017.0} 00:55:46
{'high_beta': 26037.0 , 'low_beta': 16887.0 , 'attention': 75 , 'low_gamma': 36704.0 , 'delta': 1036921.0 , 'meditation': 47 , 'poor_signal': 0 , 'high_alpha': 30244.0 , 'high_gamma': 11576.0 , 'length': 32 , 'theta': 128860.0 , 'low_alpha': 4068.0} 00:55:47
{'high_beta': 12611.0 , 'low_beta': 6977.0 , 'attention': 78 , 'low_gamma': 2274.0 , 'delta': 2566.0 , 'meditation': 54 , 'poor_signal': 0 , 'high_alpha': 6764.0 , 'high_gamma': 3012.0 , 'length': 32 , 'theta': 8649.0 , 'low_alpha': 10925.0} 00:55:48
{'high_beta': 4870.0 , 'low_beta': 4669.0 , 'attention': 75 , 'low_gamma': 2585.0 , 'delta': 5017.0 , 'meditation': 61 , 'poor_signal': 0 , 'high_alpha': 10470.0 , 'high_gamma': 4057.0 , 'length': 32 , 'theta': 7344.0 , 'low_alpha': 2340.0} 00:55:49
{'high_beta': 5763.0 , 'low_beta': 4052.0 , 'attention': 70 , 'low_gamma': 6665.0 , 'delta': 2236.0 , 'meditation': 83 , 'poor_signal': 0 , 'high_alpha': 5112.0 , 'high_gamma': 4473.0 , 'length': 32 , 'theta': 1293.0 , 'low_alpha': 5087.0} 00:55:50
{'high_beta': 6171.0 , 'low_beta': 8930.0 , 'attention': 75 , 'low_gamma': 8608.0 , 'delta': 8237.0 , 'meditation': 100 , 'poor_signal': 0 , 'high_alpha': 7367.0 , 'high_gamma': 6421.0 , 'length': 32 , 'theta': 12802.0 , 'low_alpha': 7821.0} 00:55:51
