{'high_beta': 0 , 'low_beta': 0 , 'attention': 0 , 'low_gamma': 0 , 'delta': 0 , 'meditation': 0 , 'poor_signal': 200 , 'high_alpha': 0 , 'high_gamma': 0 , 'length': 0 , 'theta': 0 , 'low_alpha': 0} 00:54:01
{'high_beta': 0 , 'low_beta': 0 , 'attention': 0 , 'low_gamma': 0 , 'delta': 0 , 'meditation': 0 , 'poor_signal': 200 , 'high_alpha': 0 , 'high_gamma': 0 , 'length': 0 , 'theta': 0 , 'low_alpha': 0} 00:54:01
{'high_beta': 0 , 'low_beta': 0 , 'attention': 0 , 'low_gamma': 0 , 'delta': 0 , 'meditation': 0 , 'poor_signal': 200 , 'high_alpha': 0 , 'high_gamma': 0 , 'length': 0 , 'theta': 0 , 'low_alpha': 0} 00:54:02
{'high_beta': 0 , 'low_beta': 0 , 'attention': 0 , 'low_gamma': 0 , 'delta': 0 , 'meditation': 0 , 'poor_signal': 200 , 'high_alpha': 0 , 'high_gamma': 0 , 'length': 0 , 'theta': 0 , 'low_alpha': 0} 00:54:02
{'high_beta': 0 , 'low_beta': 0 , 'attention': 0 , 'low_gamma': 0 , 'delta': 0 , 'meditation': 0 , 'poor_signal': 200 , 'high_alpha': 0 , 'high_gamma': 0 , 'length': 0 , 'theta': 0 , 'low_alpha': 0} 00:54:03
{'high_beta': 0 , 'low_beta': 0 , 'attention': 0 , 'low_gamma': 0 , 'delta': 0 , 'meditation': 0 , 'poor_signal': 200 , 'high_alpha': 0 , 'high_gamma': 0 , 'length': 0 , 'theta': 0 , 'low_alpha': 0} 00:54:04
{'high_beta': 0 , 'low_beta': 0 , 'attention': 0 , 'low_gamma': 0 , 'delta': 0 , 'meditation': 0 , 'poor_signal': 200 , 'high_alpha': 0 , 'high_gamma': 0 , 'length': 0 , 'theta': 0 , 'low_alpha': 0} 00:54:04
{'high_beta': 0 , 'low_beta': 0 , 'attention': 0 , 'low_gamma': 0 , 'delta': 0 , 'meditation': 0 , 'poor_signal': 200 , 'high_alpha': 0 , 'high_gamma': 0 , 'length': 0 , 'theta': 0 , 'low_alpha': 0} 00:54:05
{'high_beta': 1.0 , 'low_beta': 1.0 , 'attention': 0 , 'low_gamma': 1.0 , 'delta': 3.0 , 'meditation': 0 , 'poor_signal': 25 , 'high_alpha': 2.0 , 'high_gamma': 0.0 , 'length': 32 , 'theta': 1.0 , 'low_alpha': 1.0} 00:54:05
{'high_beta': 5118.0 , 'low_beta': 14153.0 , 'attention': 0 , 'low_gamma': 11960.0 , 'delta': 448615.0 , 'meditation': 0 , 'poor_signal': 0 , 'high_alpha': 29972.0 , 'high_gamma': 10698.0 , 'length': 32 , 'theta': 195184.0 , 'low_alpha': 70777.0} 00:54:06
{'high_beta': 1391.0 , 'low_beta': 3254.0 , 'attention': 0 , 'low_gamma': 687.0 , 'delta': 4905.0 , 'meditation': 0 , 'poor_signal': 0 , 'high_alpha': 3492.0 , 'high_gamma': 663.0 , 'length': 32 , 'theta': 1440.0 , 'low_alpha': 1812.0} 00:54:07
{'high_beta': 10530.0 , 'low_beta': 6311.0 , 'attention': 0 , 'low_gamma': 3745.0 , 'delta': 14312.0 , 'meditation': 0 , 'poor_signal': 0 , 'high_alpha': 3956.0 , 'high_gamma': 1757.0 , 'length': 32 , 'theta': 5732.0 , 'low_alpha': 4569.0} 00:54:08
{'high_beta': 9312.0 , 'low_beta': 8774.0 , 'attention': 51 , 'low_gamma': 4918.0 , 'delta': 7178.0 , 'meditation': 30 , 'poor_signal': 0 , 'high_alpha': 3856.0 , 'high_gamma': 5583.0 , 'length': 32 , 'theta': 6609.0 , 'low_alpha': 5651.0} 00:54:09
{'high_beta': 8045.0 , 'low_beta': 11502.0 , 'attention': 53 , 'low_gamma': 7175.0 , 'delta': 534531.0 , 'meditation': 13 , 'poor_signal': 0 , 'high_alpha': 1794.0 , 'high_gamma': 2896.0 , 'length': 32 , 'theta': 50830.0 , 'low_alpha': 15839.0} 00:54:10
