{'high_beta': 0 , 'low_beta': 0 , 'attention': 0 , 'low_gamma': 0 , 'delta': 0 , 'meditation': 0 , 'poor_signal': 200 , 'high_alpha': 0 , 'high_gamma': 0 , 'length': 0 , 'theta': 0 , 'low_alpha': 0} 17:48:45
{'high_beta': 301938.0 , 'low_beta': 127726.0 , 'attention': 43 , 'low_gamma': 87081.0 , 'delta': 2015026.0 , 'meditation': 29 , 'poor_signal': 0 , 'high_alpha': 519590.0 , 'high_gamma': 177315.0 , 'length': 32 , 'theta': 412123.0 , 'low_alpha': 205352.0} 17:49:00
{'high_beta': 3195.0 , 'low_beta': 4799.0 , 'attention': 29 , 'low_gamma': 9672.0 , 'delta': 352745.0 , 'meditation': 40 , 'poor_signal': 0 , 'high_alpha': 21107.0 , 'high_gamma': 7616.0 , 'length': 32 , 'theta': 55369.0 , 'low_alpha': 19193.0} 17:49:01
{'high_beta': 68218.0 , 'low_beta': 32936.0 , 'attention': 34 , 'low_gamma': 24213.0 , 'delta': 2486104.0 , 'meditation': 56 , 'poor_signal': 0 , 'high_alpha': 30473.0 , 'high_gamma': 40027.0 , 'length': 32 , 'theta': 250878.0 , 'low_alpha': 171938.0} 17:49:02
{'high_beta': 5087.0 , 'low_beta': 19003.0 , 'attention': 30 , 'low_gamma': 9558.0 , 'delta': 65776.0 , 'meditation': 67 , 'poor_signal': 0 , 'high_alpha': 2863.0 , 'high_gamma': 4066.0 , 'length': 32 , 'theta': 64565.0 , 'low_alpha': 15080.0} 17:49:03
{'high_beta': 9193.0 , 'low_beta': 1918.0 , 'attention': 37 , 'low_gamma': 6491.0 , 'delta': 99493.0 , 'meditation': 35 , 'poor_signal': 0 , 'high_alpha': 1397.0 , 'high_gamma': 4175.0 , 'length': 32 , 'theta': 15178.0 , 'low_alpha': 2063.0} 17:49:04
{'high_beta': 7633.0 , 'low_beta': 4485.0 , 'attention': 67 , 'low_gamma': 4164.0 , 'delta': 33658.0 , 'meditation': 11 , 'poor_signal': 0 , 'high_alpha': 2015.0 , 'high_gamma': 8218.0 , 'length': 32 , 'theta': 7110.0 , 'low_alpha': 945.0} 17:49:05
{'high_beta': 4371.0 , 'low_beta': 6344.0 , 'attention': 75 , 'low_gamma': 2855.0 , 'delta': 11950.0 , 'meditation': 4 , 'poor_signal': 0 , 'high_alpha': 4260.0 , 'high_gamma': 2240.0 , 'length': 32 , 'theta': 6742.0 , 'low_alpha': 2552.0} 17:49:06
{'high_beta': 11631.0 , 'low_beta': 4964.0 , 'attention': 91 , 'low_gamma': 7230.0 , 'delta': 5001.0 , 'meditation': 21 , 'poor_signal': 0 , 'high_alpha': 5582.0 , 'high_gamma': 5250.0 , 'length': 32 , 'theta': 15555.0 , 'low_alpha': 13130.0} 17:49:07
{'high_beta': 6294.0 , 'low_beta': 6405.0 , 'attention': 96 , 'low_gamma': 2939.0 , 'delta': 21855.0 , 'meditation': 37 , 'poor_signal': 0 , 'high_alpha': 3231.0 , 'high_gamma': 5718.0 , 'length': 32 , 'theta': 2945.0 , 'low_alpha': 2160.0} 17:49:08
{'high_beta': 9864.0 , 'low_beta': 42563.0 , 'attention': 57 , 'low_gamma': 13635.0 , 'delta': 1409691.0 , 'meditation': 41 , 'poor_signal': 0 , 'high_alpha': 63392.0 , 'high_gamma': 7289.0 , 'length': 32 , 'theta': 416078.0 , 'low_alpha': 31591.0} 17:49:09
{'high_beta': 19714.0 , 'low_beta': 23359.0 , 'attention': 41 , 'low_gamma': 7948.0 , 'delta': 807281.0 , 'meditation': 20 , 'poor_signal': 0 , 'high_alpha': 16917.0 , 'high_gamma': 11751.0 , 'length': 32 , 'theta': 361019.0 , 'low_alpha': 2790.0} 17:49:10
{'high_beta': 5105.0 , 'low_beta': 2542.0 , 'attention': 30 , 'low_gamma': 1942.0 , 'delta': 43924.0 , 'meditation': 23 , 'poor_signal': 0 , 'high_alpha': 6675.0 , 'high_gamma': 1711.0 , 'length': 32 , 'theta': 20967.0 , 'low_alpha': 8882.0} 17:49:11
{'high_beta': 19641.0 , 'low_beta': 30997.0 , 'attention': 4 , 'low_gamma': 9495.0 , 'delta': 1117191.0 , 'meditation': 23 , 'poor_signal': 0 , 'high_alpha': 18143.0 , 'high_gamma': 15092.0 , 'length': 32 , 'theta': 352048.0 , 'low_alpha': 47816.0} 17:49:12
{'high_beta': 4576.0 , 'low_beta': 3767.0 , 'attention': 14 , 'low_gamma': 2698.0 , 'delta': 84170.0 , 'meditation': 35 , 'poor_signal': 0 , 'high_alpha': 2122.0 , 'high_gamma': 2258.0 , 'length': 32 , 'theta': 64042.0 , 'low_alpha': 16912.0} 17:49:13
{'high_beta': 64703.0 , 'low_beta': 37920.0 , 'attention': 16 , 'low_gamma': 71921.0 , 'delta': 1064432.0 , 'meditation': 38 , 'poor_signal': 0 , 'high_alpha': 52797.0 , 'high_gamma': 31749.0 , 'length': 32 , 'theta': 1078542.0 , 'low_alpha': 23334.0} 17:49:14
{'high_beta': 2725.0 , 'low_beta': 1339.0 , 'attention': 8 , 'low_gamma': 3469.0 , 'delta': 74879.0 , 'meditation': 17 , 'poor_signal': 0 , 'high_alpha': 3742.0 , 'high_gamma': 1966.0 , 'length': 32 , 'theta': 40459.0 , 'low_alpha': 944.0} 17:49:15
{'high_beta': 14207.0 , 'low_beta': 15902.0 , 'attention': 27 , 'low_gamma': 10633.0 , 'delta': 852299.0 , 'meditation': 27 , 'poor_signal': 0 , 'high_alpha': 10489.0 , 'high_gamma': 7298.0 , 'length': 32 , 'theta': 15865.0 , 'low_alpha': 9222.0} 17:49:16
{'high_beta': 21786.0 , 'low_beta': 7675.0 , 'attention': 37 , 'low_gamma': 14567.0 , 'delta': 993947.0 , 'meditation': 43 , 'poor_signal': 0 , 'high_alpha': 9332.0 , 'high_gamma': 9181.0 , 'length': 32 , 'theta': 77789.0 , 'low_alpha': 91909.0} 17:49:17
